date,open,high,low,close,volume
2017-04-17,0.03356,0.03395,0.03251,0.03306,3295953.34647833
2017-04-18,0.03274,0.03386,0.03246,0.03333,2096295.95139297
2017-04-19,0.03311,0.03419,0.0322,0.03281,9825879.13511135
2017-04-20,0.03272,0.03319,0.02816,0.03035,12887583.149978958
2017-04-21,0.02954,0.03104,0.02643,0.02999,23461824.93025467
2017-04-22,0.02994,0.0347,0.02945,0.03355,20716205.95970341
2017-04-23,0.03302,0.03401,0.03033,0.0316,6356628.200839429
2017-04-24,0.0316,0.03214,0.03102,0.03141,2427946.13566513
2017-04-25,0.0315,0.032,0.0309,0.03151,3943076.14007657
2017-04-26,0.03132,0.03421,0.03108,0.03224,10300819.57732823
2017-04-27,0.03259,0.03392,0.03251,0.03275,9292451.34612142
2017-04-28,0.03292,0.0368,0.03225,0.03523,13627092.81989492
2017-04-29,0.03528,0.04612,0.03487,0.045,45342270.83059291
2017-04-30,0.04499,0.05952,0.04499,0.05383,37098759.464065
2017-05-01,0.0536,0.05499,0.04902,0.05218,11574127.23633206
2017-05-02,0.0517,0.05811,0.04903,0.05383,28911691.04730709
2017-05-03,0.05415,0.05527,0.0505,0.05382,13482579.43463832
2017-05-04,0.05358,0.06199,0.05245,0.06108,28234094.26087347
2017-05-05,0.06088,0.08793,0.06,0.08,82044377.29732823
2017-05-06,0.08,0.105,0.07776,0.09139,67779683.04447132
2017-05-07,0.09029,0.1039,0.09029,0.1001,23429118.22627751
2017-05-08,0.10118,0.155,0.09725,0.13911,55057377.48865881
2017-05-09,0.139,0.22395,0.1121,0.1917,93469265.42312546
2017-05-10,0.1917,0.207,0.112,0.15638,49824389.25028308
2017-05-11,0.15638,0.19795,0.151,0.18695,25777230.40276685
2017-05-12,0.18699,0.19735,0.16183,0.18372,22598093.55366379
2017-05-13,0.18478,0.21,0.1806,0.20688,20434515.476843387
2017-05-14,0.20365,0.222,0.1951,0.21022,17393866.04101173
2017-05-15,0.2106,0.22,0.20755,0.21714,6314896.568161919
2017-05-16,0.217,0.26311,0.21558,0.26311,26730347.02555605
2017-05-17,0.26311,0.33467,0.25,0.325,44273242.637526765
2017-05-18,0.325,0.39887,0.285,0.37499,63198203.3162492
2017-05-19,0.368,0.3925,0.304,0.35749,27905497.55723589
2017-05-20,0.3574,0.35944,0.28,0.320106,35887760.61888928
2017-05-21,0.3224,0.37,0.289,0.344005,36454076.97812786
2017-05-22,0.344012,0.363981,0.31901,0.325,16940728.28864696
2017-05-23,0.32301,0.335134,0.2215,0.29875,47897934.21655564
2017-05-24,0.29775,0.35416,0.280003,0.32292,26679088.7802164
2017-05-25,0.32292,0.34,0.2799,0.289,32602297.57417976
2017-05-26,0.289,0.305,0.21375,0.24,49309941.116414145
2017-05-27,0.241859,0.33,0.237242,0.264547,41793956.36045514
2017-05-28,0.27602,0.289962,0.132,0.21,75379754.45902435
2017-05-29,0.21,0.249933,0.2,0.225,25976649.90730783
2017-05-30,0.225001,0.2462,0.200002,0.230935,20591910.98786751
2017-05-31,0.23318,0.2388,0.1856,0.2042,24208956.48415135
2017-06-01,0.201876,0.254079,0.185602,0.249367,28611661.25066369
2017-06-02,0.2475,0.342,0.24563,0.334991,71532187.88194473
2017-06-03,0.334989,0.337993,0.272351,0.29049,33071228.23391432
2017-06-04,0.29321,0.309236,0.270169,0.29214,14220844.96778989
2017-06-05,0.290267,0.310238,0.270007,0.292552,16088737.0219418
2017-06-06,0.294,0.298958,0.284,0.290406,8623488.71871442
