date,open,high,low,close,volume
2016-02-06,3.1832,3.18321,3.10001,3.11,15.13671642
2016-02-07,3.1052,3.1266,3.045,3.1184,272.71898882
2016-02-08,3.11129,3.11129,3.03,3.03,285.86610273
2016-02-09,3.03,3.07999,2.93229,2.98943,864.63495188
2016-02-10,2.99082,3.07999,2.99082,3.05,979.00488558
2016-02-11,3.05,3.09509,2.96054,3.06,1329.99765372
2016-02-12,3.06,3.1,2.89833,2.92586,16500.94268035
2016-02-13,3.04999,3.09597,2.93886,3.02501,429.38646408
2016-02-14,3.02507,3.15453,3.02502,3.04433,696.97339089
2016-02-15,3.15,3.1784,3.072,3.14,644.92594808
2016-02-16,3.09266,3.17521,2.89832,3.04434,256.25577804
2016-02-17,3.12288,3.22195,3.0692,3.13609,530.37997509
2016-02-18,3.13383,3.27026,2.89137,3.17947,704.21626155
2016-02-19,3.17949,3.25775,3.15001,3.19,984.8968173
2016-02-20,3.19,3.22,3.185,3.201,269.84062156
2016-02-21,3.201,3.48697,3.195,3.41555,1616.24413295
2016-02-22,3.40658,3.54671,3.10001,3.42,3334.34804129
2016-02-23,3.32779,3.46999,3.3,3.39,1181.89358095
2016-02-24,3.39,3.44482,3.30057,3.32555,671.81207535
2016-02-25,3.30392,3.30392,3.30226,3.30226,50.57
2016-02-26,3.3229,3.39065,3.30101,3.37213,457.3491626
2016-02-27,3.31,3.39065,3.28,3.39065,836.74697517
2016-02-28,3.37726,3.4326,3.3505,3.37,94.51013632
2016-02-29,3.37,3.45254,3.31002,3.38838,152.53975621
2016-03-01,3.46473,3.48281,3.37701,3.37701,68.56711225
2016-03-02,3.38009,3.42212,3.31505,3.34515,2294.32007126
2016-03-03,3.34515,3.40647,3.07366,3.25417,2600.28951738
2016-03-04,3.25523,3.334,3.032,3.21,2266.52638372
2016-03-05,3.31269,3.33084,2.97001,3.23703,4322.08541943
2016-03-06,3.14105,3.22008,2.63158,3.11255,2873.70100555
2016-03-07,3.11256,3.25,2.85976,3.17857,2654.99997707
2016-03-08,3.11753,3.25,3.11753,3.24997,403.25475099
2016-03-09,3.24997,3.30204,3.21,3.25205,323.22470782
2016-03-10,3.19657,3.35,3.19657,3.24532,837.90983641
2016-03-11,3.24534,3.34947,3.21016,3.22005,532.18536757
2016-03-12,3.33893,3.41545,3.22351,3.30419,1166.87022209
2016-03-13,3.30435,3.36484,2.91,3.19561,1326.00663688
2016-03-14,3.29679,3.29679,3.0254,3.27333,595.45654728
2016-03-15,3.27395,3.29862,2.91,3.25,610.46195145
2016-03-16,3.25,3.29989,3.0,3.29,1200.41553304
2016-03-17,3.265,3.29,3.22,3.29,1599.90811584
2016-03-18,3.29381,3.32994,3.24108,3.26422,226.81413743
2016-03-19,3.31152,3.31152,3.11315,3.14133,471.70016364
2016-03-20,3.18674,3.21297,3.14641,3.16,32.85697657
2016-03-21,3.16,3.26415,3.14302,3.16214,223.53036078
2016-03-22,3.16046,3.22021,3.13139,3.16013,312.87510305
2016-03-23,3.16013,3.26218,3.16013,3.18301,174.4361851
2016-03-24,3.1709,3.26373,3.1709,3.18764,71.63257845
2016-03-25,3.18132,3.25,2.37644,3.02613,1699.36417098
2016-03-26,3.09661,3.24,3.09661,3.16,276.55612036
2016-03-27,3.21933,3.24579,3.18127,3.23999,190.70751077
